symbol,strategy,holding_hours,total_trades,wins,losses,flats_skipped,win_rate,avg_win_pct,avg_loss_pct,is_significant,p_value,ci_lower,ci_upper
SOL,mean_reversion,24,196,104,92,161,0.5306122448979592,0.029850440939801978,0.029902585830419933,False,0.2160556171271352,0.4608274044804224,0.599220153185249
SOL,mean_reversion,48,196,104,92,160,0.5306122448979592,0.04423221493279927,0.0441490182469309,False,0.2160556171271352,0.4608274044804224,0.599220153185249
SOL,mean_reversion,72,195,108,87,160,0.5538461538461539,0.05250035746759981,0.051251725938341666,False,0.07594721973521483,0.4837041788288348,0.6219075241548468
SOL,mean_reversion,168,192,96,96,159,0.5,0.08040161584430197,0.07503875427906392,False,0.5287537151733879,0.42997169712955335,0.5700283028704467
SOL,mean_reversion_aggressive,24,274,140,134,83,0.5109489051094891,0.02930110959191551,0.03232118798182175,False,0.38133476849378056,0.45201817578022885,0.5695768625437658
SOL,mean_reversion_aggressive,48,274,138,136,82,0.5036496350364964,0.04370793445597303,0.044472325976478766,False,0.4759209953163763,0.444807471431635,0.5623908746763633
SOL,mean_reversion_aggressive,72,273,143,130,82,0.5238095238095238,0.05053699661850849,0.05287061150270609,False,0.2338681674133669,0.46464568357000596,0.5823125770382264
SOL,mean_reversion_aggressive,168,270,133,137,81,0.4925925925925926,0.08168225984948611,0.0744189049597697,False,0.6195139849947162,0.43348183028282583,0.5519111852414772
SOL,ghost_inverse,24,137,68,69,220,0.49635036496350365,0.03143358536736248,0.036208658403173555,False,0.5677975124950257,0.41387476724711403,0.5790250578045754
SOL,ghost_inverse,48,137,68,69,219,0.49635036496350365,0.04398945388608311,0.04601129713735025,False,0.5677975124950257,0.41387476724711403,0.5790250578045754
SOL,ghost_inverse,72,136,69,67,219,0.5073529411764706,0.05498768183041032,0.05679112033372173,False,0.4658538075754982,0.4242876511786049,0.5900142446807102
SOL,ghost_inverse,168,134,67,67,217,0.5,0.08382289093862959,0.08206855857062038,False,0.5343991271832025,0.4165289411016035,0.5834710588983965
SOL,ghost_inverse_strong,24,99,51,48,258,0.5151515151515151,0.02991285628950403,0.03302383916600866,False,0.4204107626128212,0.4179916540057243,0.6111794207344587
SOL,ghost_inverse_strong,48,98,53,45,258,0.5408163265306123,0.04344128472925043,0.05068886840326766,False,0.2398462497837432,0.4424786494488038,0.6360747118495262
SOL,ghost_inverse_strong,72,97,50,47,258,0.5154639175257731,0.049935946747890064,0.053312352502721254,False,0.41960683092204126,0.41732951901522114,0.6124201081227854
SOL,ghost_inverse_strong,168,96,47,49,255,0.4895833333333333,0.07534020645346703,0.07931968190801261,False,0.6201753558381851,0.39192689394846364,0.5880413757908035
SOL,rsi,24,92,42,50,265,0.45652173913043476,0.03235595676478453,0.03198722161627339,False,0.825929354840397,0.35852497382933834,0.5580039655873659
SOL,rsi,48,92,43,49,264,0.4673913043478261,0.04106069330124564,0.044988101230194026,False,0.7671462771134688,0.36879946305290146,0.5685972415096268
SOL,rsi,72,92,43,49,263,0.4673913043478261,0.045077541137533934,0.05255446840318727,False,0.7671462771134688,0.36879946305290146,0.5685972415096268
SOL,rsi,168,90,40,50,261,0.4444444444444444,0.0857100735066408,0.07855846496801888,False,0.8769467751418608,0.34615486330171846,0.5472825887451348
SOL,rsi_extreme,24,31,13,18,326,0.41935483870967744,0.019631587317273436,0.03375253530082834,False,0.8594792424701154,0.26415303073549257,0.5923403564797902
SOL,rsi_extreme,48,31,13,18,325,0.41935483870967744,0.034828647350613674,0.038511231918486905,False,0.8594792424701154,0.26415303073549257,0.5923403564797902
SOL,rsi_extreme,72,31,16,15,324,0.5161290322580645,0.04267051261903845,0.06361715081411784,False,0.5,0.34840118286973176,0.6803001396872117
SOL,rsi_extreme,168,31,17,14,320,0.5483870967741935,0.058091139459444316,0.08194442092684294,False,0.360050065908581,0.37771879603669134,0.7083851716341388
SOL,always_up,24,357,177,180,0,0.4957983193277311,0.02981744015872832,0.03131176169175227,False,0.5838119203959401,0.44425458652683925,0.5474315161841564
SOL,always_up,48,356,178,178,0,0.5,0.040761937853615426,0.04457823871686817,False,0.5211290555620018,0.4483380980149866,0.5516619019850134
SOL,always_up,72,355,172,183,0,0.48450704225352115,0.05081426889611834,0.05316551387411205,False,0.7378738684277961,0.4329636423391857,0.5363821637212043
SOL,always_up,168,351,171,180,0,0.48717948717948717,0.07460467898632966,0.08162530433740274,False,0.7032148459765326,0.4353105974524923,0.5393259727805356
